Accuracy,Precision,Recall,F1 Score,Subject,Model,n_estimators,C,kernel
0.760593220338983,0.7898288243755077,0.760593220338983,0.7478574713563199,subject_01.csv,RandomForest,50,,
0.8178053830227743,0.8376420031476042,0.8178053830227743,0.807790087836362,subject_02.csv,RandomForest,50,,
0.9200968523002422,0.9328749694554138,0.9200968523002422,0.9208189770433484,subject_03.csv,RandomForest,50,,
0.9140969162995595,0.9134610081084271,0.9140969162995595,0.913346797792499,subject_04.csv,RandomForest,50,,
0.964622641509434,0.965174141880693,0.964622641509434,0.9646987492717413,subject_05.csv,RandomForest,50,,
0.8508557457212714,0.87040375740579,0.8508557457212714,0.8530795591783346,subject_06.csv,RandomForest,50,,
0.4627949183303085,0.5232683382107444,0.4627949183303085,0.4526755529660808,subject_07.csv,RandomForest,50,,
0.8985849056603774,0.9134527288309582,0.8985849056603774,0.8958523658447346,subject_08.csv,RandomForest,50,,
0.9747126436781609,0.975785320988034,0.9747126436781609,0.9746498698333704,subject_09.csv,RandomForest,50,,
0.9199134199134199,0.9204020143041417,0.9199134199134199,0.9164623554975574,subject_10.csv,RandomForest,50,,
0.2845873786407767,0.2326724214414338,0.2845873786407767,0.24138902809953316,subject_11.csv,RandomForest,50,,
0.9118852459016393,0.9302098192882852,0.9118852459016393,0.9168314239615222,subject_12.csv,RandomForest,50,,
0.9142441860465116,0.9242907014525293,0.9142441860465116,0.9148058591422966,subject_13.csv,RandomForest,50,,
0.7860576923076923,0.7989641184515915,0.7860576923076923,0.7746537481810443,subject_14.csv,RandomForest,50,,
0.8531468531468531,0.8854576183133924,0.8531468531468531,0.8466983737271193,subject_15.csv,RandomForest,50,,
0.9311111111111111,0.9340733180733181,0.9311111111111111,0.931140783534172,subject_16.csv,RandomForest,50,,
0.9081196581196581,0.9108397006212333,0.9081196581196581,0.9075196909951009,subject_17.csv,RandomForest,50,,
0.945010183299389,0.9566342831291688,0.945010183299389,0.9460257237375805,subject_18.csv,RandomForest,50,,
0.8896103896103896,0.9152113948389605,0.8896103896103896,0.8954861123655101,subject_19.csv,RandomForest,50,,
0.9504132231404959,0.956618157506891,0.9504132231404959,0.9519519719430992,subject_20.csv,RandomForest,50,,
0.8901601830663616,0.8975804132235944,0.8901601830663616,0.8908475710804068,subject_21.csv,RandomForest,50,,
0.5299539170506913,0.5663971403828607,0.5299539170506913,0.5279949526130878,subject_22.csv,RandomForest,50,,
0.9272349272349273,0.9361747857038155,0.9272349272349273,0.9299763113464565,subject_23.csv,RandomForest,50,,
0.8997912317327766,0.9075161425194567,0.8997912317327766,0.89785760924358,subject_24.csv,RandomForest,50,,
0.8721461187214612,0.8882091636577456,0.8721461187214612,0.8740452152718142,subject_25.csv,RandomForest,50,,
0.7902097902097902,0.7899969723945088,0.7902097902097902,0.7841637805165658,subject_26.csv,RandomForest,50,,
0.92,0.9343041677397108,0.92,0.9249000604200451,subject_27.csv,RandomForest,50,,
0.8587257617728532,0.8738267017463182,0.8587257617728532,0.8611595618456731,subject_28.csv,RandomForest,50,,
0.7718120805369127,0.7959347590206858,0.7718120805369127,0.7591793056949193,subject_29.csv,RandomForest,50,,
0.21487603305785125,0.14562170120611143,0.21487603305785125,0.13070219023490984,subject_30.csv,RandomForest,50,,
0.8128205128205128,0.8292243101263996,0.8128205128205128,0.8178402979647782,subject_31.csv,RandomForest,50,,
0.9884615384615385,0.9887368728832143,0.9884615384615385,0.9884116358325219,subject_32.csv,RandomForest,50,,
0.9063231850117096,0.9270145144939034,0.9063231850117096,0.906385304800781,subject_33.csv,RandomForest,50,,
0.9783889980353635,0.9793943571694064,0.9783889980353635,0.978372917304089,subject_34.csv,RandomForest,50,,
0.9254807692307693,0.9300309581248007,0.9254807692307693,0.926105335005552,subject_35.csv,RandomForest,50,,
0.9440203562340967,0.9511524779640659,0.9440203562340967,0.94430167569424,subject_36.csv,RandomForest,50,,
